id,framework,item,expectation,source_doc,status,comments,uat_comments
FC-01,Framework-common,lib_args.py,"ONE standardized CLI contract (MOD_NAME arg1; MOD_PATH arg2 ModParse-only; --save/--logs/--prefix/--rerun); PLUS multi-mod front-end parse_master_args + --all for the 4 masters (subs stay single-mod)","common/README+MANIFEST; PROGRESS 2026-07-01 multi-mod",,,
FC-02,Framework-common,lib_io.py,"deterministic text/CSV IO (write_csv sort=True => idempotent data-<Mod>) + walk_files sorted","common/README+MANIFEST",,,
FC-03,Framework-common,lib_paths.py,"self-location + ALL external path resolution via Framework-common/config_game.toml; data-<Mod> / <kind>-<label>/<mod> output layout; resolve_save accepts .v3 FILE or dir; the single IO-path lib (vision Z)","common/README+MANIFEST; vision §Z; PROGRESS 07-01",,,
FC-04,Framework-common,lib_config.py,"read-only TOML loader (tomllib); tolerant fallback for backslash Windows paths in config values","common/MANIFEST; PROGRESS 07-01",,,
FC-05,Framework-common,lib_parse.py,"prefix detect (stopwords-aware) + fixed-point decode_value + iter_save_lines/iter_save_blocks + normalize_error (dep-free)","common/README+MANIFEST; ROADMAP §Logtriage",,,
FC-06,Framework-common,run-debug-master.py,"convenience master: ModParse->Logtriage->SaveParse per mod; accepts multi-mod / --all; prints the output paths; the single entry point report/CI will invoke","common/README+HOW_TO_USE §1",,,
FC-07,Framework-common,run-scrub.py,"wipe ALL generated Game-* data (data-*/log-CURR*/save-CURR*) leaving code+configs+curated CSVs; dry-run default; --commit; --mod scope; no MOD_NAME positional","common/README+HOW_TO_USE §5; vision §Z",,,
FC-08,Framework-common,run-archive-curr.py,"newest-only-CURR: create Game-<game>/ root if missing; demote every prior *-CURR to <kind>-<label>; runs ONCE per master invocation BEFORE the mod loop (all mods of one run share one CURR); idempotent; standalone form takes log-CURR|save-CURR","common/README+HOW_TO_USE §7; PROGRESS 07-01",,,
FC-09,Framework-common,testbook-toggle-markers.py,"mod-agnostic ON/OFF toggle of debug_log/debug_log_scopes/_fingerprint_ (+dummy-use) lines; --on/--off required; dry-run default --commit; BOM+EOL preserved; empty-scope collapse after fp-off; INTERIM - to be superseded by Framework-Toggle split","HOW_TO_USE §6; ROADMAP §Toggle; PROGRESS 07-01",,,
FC-10,Framework-common,config_game.example.toml -> config_game.toml,"tracked template copied to gitignored per-machine config_game.toml; holds paths + [mod_locations]; loaded FROM Framework-common by lib_paths; the ONE per-machine file","HOW_TO_USE §0; common/README WHERE-map",,,
FC-11,Framework-common,config_naming.toml,"machine-readable mirror of the DEV-RULES naming classes; reference only","HOW_TO_USE §config-table; common/MANIFEST",,,
FC-12,Framework-common,docs current (README+HOW_TO_USE+MANIFEST),"master README + cookbook + manifest reflect AS-BUILT reality: multi-mod --all; rework state (Sets/splits); no stale names/paths","common/README header; DEV-RULES make-your-bed",,,
MP-01,Framework-ModParse,run-modparse.py,"orchestrator: run ext-* extractors as SUBPROCESSES (ext-mod-files first - others FK raw_files.csv); MUST also call ext-mod-tokens after the existing extractors (roadmap status TODO)","MP/README; ROADMAP §ModParse",,,
MP-02,Framework-ModParse,ext-mod-files.py,"mod source filenames -> raw_files.csv (file_id, rel_path, basename)","MP/README outputs",,,
MP-03,Framework-ModParse,ext-mod-keywords.py,"mod keywords/tokens -> raw_keywords.csv (the shared join key); prefix PREFERS the mod filename convention <prefix>_<desc>.txt (zz_/NN_ stripped); identifier frequency only fallback; stopwords from config","MP/README; PROGRESS 06-30 detect_prefix fix",,,
MP-04,Framework-ModParse,ext-mod-debuglines.py,"ACTIVE (uncommented) debug_log markers -> raw_debuglines.csv","MP/README outputs",,,
MP-05,Framework-ModParse,ext-mod-loc.py,"localization keys -> raw_loc.csv (consumed by Logtriage loc-for-all-kw)","MP/README; LT/README repurposed-loc",,,
MP-06,Framework-ModParse,ext-mod-fingerprints.py,"declared *_fingerprint_* markers -> raw_fingerprints.csv with op[set/change/has/other]; feeds SaveParse + set-before-change check","MP/README outputs",,,
MP-07,Framework-ModParse,ext-mod-tokens.py,"UNFILTERED token dump: ALL tokens + occurrence counts; commented-out excluded -> raw_tokens.csv (keyword,occurrence)","ROADMAP §ModParse + build-status (built 07-01)",,,
MP-08,Framework-ModParse,config_modparse.toml,"[scan].extensions; [markers].fingerprint_infix; [prefix].stopwords; [outputs] incl tokens; parse regexes stay in code/lib_parse","MP/README config",,,
MP-09,Framework-ModParse,idempotency guarantee,"same commit => byte-identical data-<Mod> whenever run; sorted walk; stable ids; NO timestamps/abs-paths in outputs","MP/README §A; vision §A",,,
MP-10,Framework-ModParse,docs current (README+MANIFEST),"manifest row per script incl ext-mod-tokens; README outputs table lists raw_tokens.csv","MP/MANIFEST; DEV-RULES make-your-bed",,,
LT-01,Framework-Logtriage,run-log-sort.py (Set1 master),"archive log-CURR once + seed smoke_detector.csv to log-CURR ROOT from .example + run ext-log-lines + aggr-log-errorpatterns","ROADMAP §Logtriage; LT/MANIFEST rework (built+tested 6189)",,,
LT-02,Framework-Logtriage,ext-log-lines.py,"read ALL *.log; EVERY error line -> COMMON log-CURR/raw_errors.csv; ALL lines -> raw_loglines.csv; drops NOTHING (SORT-not-FILTER)","ROADMAP §Logtriage principles",,,
LT-03,Framework-Logtriage,aggr-log-errorpatterns.py,"group error signatures -> log-CURR/_global/error_patterns.csv (append-only); dep-free lib_parse.normalize_error; drain3 optional+flagged","ROADMAP §Logtriage",,,
LT-04,Framework-Logtriage,run-log-aggr.py (Set2 master),"per mod: join COMMON raws vs data-<Mod> keys -> log-CURR/<Mod>/aggr_* + per-mod metrics.csv","ROADMAP §Logtriage; PROGRESS 07-01 NEXT",,,
