id,framework,item,expectation,source_doc,status,comments,uat_comments
FC-01,Framework-common,lib_args.py,ONE standardized CLI contract (MOD_NAME arg1; MOD_PATH arg2 ModParse-only; --save/--logs/--prefix/--rerun); PLUS multi-mod front-end parse_master_args + --all for the 4 masters (subs stay single-mod),common/README+MANIFEST; PROGRESS 2026-07-01 multi-mod,DONE,read in full (73 ln): parse_args + parse_master_args + selected_mods exactly as designed; --all resolves from [mod_locations]; subs unchanged single-mod,
FC-02,Framework-common,lib_io.py,deterministic text/CSV IO (write_csv sort=True => idempotent data-<Mod>) + walk_files sorted,common/README+MANIFEST,DONE,51 ln; exercised by every consumer incl chk-diagnostics (read_csv_dicts) + the 11-mod real run 07-01,
FC-03,Framework-common,lib_paths.py,self-location + ALL external path resolution via Framework-common/config_game.toml; data-<Mod> / <kind>-<label>/<mod> output layout; resolve_save accepts .v3 FILE or dir; the single IO-path lib (vision Z),common/README+MANIFEST; vision §Z; PROGRESS 07-01,DONE,COMMON/TOOLS/GAME_ROOT anchors + game_config() from Framework-common verified; live config_game.toml uses a save FILE path and worked in the 07-01 real run,
FC-04,Framework-common,lib_config.py,read-only TOML loader (tomllib); tolerant fallback for backslash Windows paths in config values,common/MANIFEST; PROGRESS 07-01,DONE,28 ln; load_framework_config used by all new scripts; backslash fallback proven by the live config (raw C:\ path in save_games_dir parses),
FC-05,Framework-common,lib_parse.py,prefix detect (stopwords-aware) + fixed-point decode_value + iter_save_lines/iter_save_blocks + normalize_error (dep-free),common/README+MANIFEST; ROADMAP §Logtriage,DONE,141 ln cohesive; detect_prefix(stopwords) verified; normalize_error drove the 6189-line/42-signature Set-1 run,
FC-06,Framework-common,run-debug-master.py,convenience master: ModParse->Logtriage->SaveParse per mod; accepts multi-mod / --all; prints the output paths; the single entry point report/CI will invoke,common/README+HOW_TO_USE §1,DONE,read in full; forwards the same selection to each sub-master; --help ok. NOTE: chains the OLD log/save masters - re-point once the rework tops land,
FC-07,Framework-common,run-scrub.py,wipe ALL generated Game-* data (data-*/log-CURR*/save-CURR*) leaving code+configs+curated CSVs; dry-run default; --commit; --mod scope; no MOD_NAME positional,common/README+HOW_TO_USE §5; vision §Z,DONE,41 ln; real --commit run 07-01 wiped 12 dirs and Game-Victoria3 was recreated on demand afterwards,
FC-08,Framework-common,run-archive-curr.py,newest-only-CURR: create Game-<game>/ root if missing; demote every prior *-CURR to <kind>-<label>; runs ONCE per master invocation BEFORE the mod loop; idempotent; standalone form takes log-CURR|save-CURR,common/README+HOW_TO_USE §7; PROGRESS 07-01,DONE,read in full (62 ln): makedirs + mtime-label demotion + collision _N; called once-before-loop in both old masters AND run-log-sort. See LT-14 for the double-archive interplay caveat,
FC-09,Framework-common,testbook-toggle-markers.py,mod-agnostic ON/OFF toggle of debug_log/debug_log_scopes/_fingerprint_ lines; --on/--off required; dry-run default --commit; BOM+EOL preserved; empty-scope collapse after fp-off; INTERIM until Framework-Toggle supersedes,HOW_TO_USE §6; ROADMAP §Toggle; PROGRESS 07-01,RETIRED,RETIRED 2026-07-03: superseded by the Framework-Toggle ss1-ss4 split; git rm'd from Framework-common along with config_toggle.toml; HOW_TO_USE §6 + README + MANIFEST + v2/README + DOC-INDEX repointed to run-toggle. Its proven _collapse_scopes ported into lib_toggle.,
FC-10,Framework-common,config_game.example.toml -> config_game.toml,tracked template copied to gitignored per-machine config_game.toml; paths + [mod_locations]; loaded FROM Framework-common by lib_paths; the ONE per-machine file,HOW_TO_USE §0; common/README WHERE-map,DONE,gitignore rule verified (tools/Framework-common/config_game.toml); live file holds 10 mod locations + a save FILE path; PII stays out of git,
FC-11,Framework-common,config_naming.toml,machine-readable mirror of the DEV-RULES naming classes; reference only,HOW_TO_USE config-table; common/MANIFEST,DONE,present + tracked in Framework-common (correct home after the Game-* data-only fix),
FC-12,Framework-common,docs current (README+HOW_TO_USE+MANIFEST),master README + cookbook + manifest reflect AS-BUILT reality: multi-mod --all; rework state (Sets/splits); no stale names,common/README header; DEV-RULES make-your-bed,DONE,"Phase 5 07-03: common README status table (Toggle now = Framework-Toggle built, masters 'built' not 'Phase 5') + MANIFEST header (interim retired) + HOW_TO_USE all refreshed to as-built; multi-mod/--all + rework Sets reflected; no stale stub/phase language.",fix per doc rules. All scripts in manifest. No prphaned docs.etc.
MP-01,Framework-ModParse,run-modparse.py,orchestrator: run ext-* extractors as SUBPROCESSES (ext-mod-files first); MUST also call ext-mod-tokens (roadmap said TODO),MP/README; ROADMAP §ModParse,DONE,read in full: STAGES includes ext-mod-tokens (roadmap TODO actually delivered); multi-mod + --path single-mod guard; --help ok,
MP-02,Framework-ModParse,ext-mod-files.py,"mod source filenames -> raw_files.csv (file_id, rel_path, basename)",MP/README outputs,DONE,28 ln; output verified on disk (data-InfraTaxMod/raw_files.csv; 11 mods parsed 07-01),
MP-03,Framework-ModParse,ext-mod-keywords.py,keywords -> raw_keywords.csv (shared join key); prefix PREFERS filename convention <prefix>_<desc>.txt (zz_/NN_ stripped); frequency only fallback; stopwords from config,MP/README; PROGRESS 06-30 detect_prefix fix,DONE,filename-preference + config stopwords confirmed in code; 4-mod auto-detect validation (mdp/eco/knip/nous) recorded 06-30,
MP-04,Framework-ModParse,ext-mod-debuglines.py,ACTIVE (uncommented) debug_log markers -> raw_debuglines.csv,MP/README outputs,DONE,39 ln; output on disk,
MP-05,Framework-ModParse,ext-mod-loc.py,localization keys -> raw_loc.csv (consumed by Logtriage loc-for-all-kw),MP/README; LT/README repurposed-loc,DONE,41 ln; output on disk,
MP-06,Framework-ModParse,ext-mod-fingerprints.py,declared *_fingerprint_* markers -> raw_fingerprints.csv with op[set/change/has/other],MP/README outputs,DONE,50 ln; output on disk; fed the desi dogfood parse 06-30,
MP-07,Framework-ModParse,ext-mod-tokens.py,UNFILTERED token dump: ALL tokens + occurrences; commented-out excluded -> raw_tokens.csv,ROADMAP §ModParse + build-status,DONE,40 ln; raw_tokens.csv present in data dirs (InfraTax 316 distinct / 12467 total per roadmap build note),
MP-08,Framework-ModParse,config_modparse.toml,[scan].extensions; [markers].fingerprint_infix; [prefix].stopwords; [outputs] incl tokens,MP/README config,DONE,present; stopwords consumed by ext-mod-keywords,
MP-09,Framework-ModParse,idempotency guarantee,same commit => byte-identical data-<Mod>; sorted walk; stable ids; NO timestamps/abs-paths in outputs,MP/README §A; vision §A,DONE,sorted walk_files + write_csv(sort) + no ts/abs-path writes in code; README records a checksum-verified rerun (not re-verified this session),
MP-10,Framework-ModParse,docs current (README+MANIFEST),manifest row per script incl ext-mod-tokens; README outputs table lists raw_tokens.csv,MP/MANIFEST; make-your-bed,DONE,Verified 07-03: MP README lists raw_tokens.csv; MANIFEST has the ext-mod-tokens row. As-built.,fix per doc rules. All scripts in manifest. No prphaned docs.etc.
LT-01,Framework-Logtriage,run-log-sort.py (Set1 master),archive log-CURR once + seed smoke_detector.csv to ROOT from .example + run ext-log-lines + aggr-log-errorpatterns,ROADMAP §Logtriage; LT/MANIFEST rework,DONE,read in full (37 ln); all 3 steps as designed; real-run proven (6189 error lines). NOT yet chained from any top master - standalone only until LT-14,
LT-02,Framework-Logtriage,ext-log-lines.py,ALL configured *.log; EVERY line -> raw_loglines.csv; every error-severity line -> raw_errors.csv + signature; drops NOTHING,ROADMAP SORT-not-FILTER,DONE,read in full (43 ln); no mod filter anywhere; outputs at log-CURR ROOT verified on disk,
LT-03,Framework-Logtriage,aggr-log-errorpatterns.py,group signatures -> _global/error_patterns.csv (append-only); dep-free normalize_error; drain3 optional flagged,ROADMAP §Logtriage,DONE,read in full (34 ln); dep-free; _global/error_patterns.csv on disk (42 signatures). INTERPRETATION FLAG: it REGENERATES per run rather than appending across runs - within a per-run log-CURR dir that seems right but roadmap says 'append-only'; confirm intent,
