# Top40EcoBoost CHAMP-selection pass (stage 2). Regenerate: gen_ecoboost_plan.py (reads SELECT_ECOBOOST_WIP.csv).,,,,,,,,,,,,
# good(a)   = a building levels of that good today.   good^ = can build it but 0 today (potential).,,,,,,,,,,,,
# good(a)<b>= SUPPORT/must-have: in shortage (produced/demand < 0.5); seed about b levels (b kept near a).,,,,,,,,,,,,
# CHAMP = 3 ranked candidates  pick 1 (this pass finalizes champ + maybe 1-2 support).,,,,,,,,,,,,
# SUPPORT = loose first-cut (best to build x of in ~4-5 yrs; incl. empty-but-wanted). Final support = a later pass.,,,,,,,,,,,,
# MUST-HAVE = the 6 eco-starters (iron/wood/grain/fish/fabric/tools) a tag can't self-supply >=0.5. wood/iron also seeded by Track-B.,,,,,,,,,,,,
# company[n] = good targeted by n flavored companies (wood* = hardwood). old_picks = your earlier hand picks.,,,,,,,,,,,,
tag,country,X,mkt,identity,final champ,pass1 support,champ_candidates,support_candidates,must_have_starters,company_goods,old_picks,notes
CHI,China,10,yes,"silk, tea & porcelain export titan",tea,fish tea wood furniture,tea(194) silk(86) dye(46),groceries(0)<2> clothes(16)<16> fish(27)<27> furniture(40)<40> wood(50)<43>,wood(50)<43> fish(27)<27> grain(108)<23> fabric^<2>,porcelain[1] tea[1] small_arms[1] silk[1],silk,
RUS,Russia,10,yes,grain & timber resource giant,wood,grain furniture groceries paper meat,wood(120) grain(179) iron(20),fabric^<2> fish(6)<6> groceries(12)<6> clothes(13)<5> furniture(13)<4>,fabric^<2> fish(6)<6>,oil[1] artillery[1] clothes[1] small_arms[1] steel[1] iron[1] liquor[1],wood groceries,
BIC,East India,10,yes,tea & textile subcontinent,dye,grain fabric meat,opium(73) dye(43) silk(20),groceries(0)<2> furniture(3)<3> grain^<2> fabric(16)<13> fish(11)<11>,fabric(16)<13> fish(11)<11> wood(21)<9> grain^<2> tools(0)<1>,tea[1] grain[1],fabric iron,
USA,United States,9,yes,"cotton, grain & nascent industry",meat,steel iron coal fabric,fabric(55) tobacco(49) steel(2),,,small_arms[1] automobiles[1] steel[1] fruit[1] radios[1] fabric[1],meat fabric,no input shortages
FRA,France,9,yes,"wine, arms & luxury prestige",wine,iron small_arms clothes glass,wine(78) silk(18) grain(95),fabric^<2> iron(6)<4> dye(1)<2> fertilizer(0)<1> engines(0)<1>,fabric^<2> iron(6)<4>,wine[1] clothes[1] luxury_clothes[1] small_arms[1] artillery[1],wine groceries,
GBR,Great Britain,9,yes,"steel & tools, workshop of world",coal,steel engine tools clothes,steel(8) coal(59) tools(21),wood(10)<10> fabric^<2> dye^<2> silk^<2> sulfur^<2>,wood(10)<10> fabric^<2>,steamers[1] luxury_furniture[1] radios[1] clothes[1] groceries[1] steel[1] merchant_marine[1],clothes coal,
TUR,Ottomans,9,yes,"agrarian crossroads, military revival",tobaco,tea grain meat paper,tobacco(24) tea(21) grain(32),groceries(1)<2> fabric(7)<1> dye(0)<1>,fabric(7)<1>,grain[1],meat paper,
JAP,Japan,8,yes,"silk, washi paper & soy sauce",fish,paper groceries furniture glass,silk(4) tea(14) tobacco(9),fish(10)<8> clothes(4)<4> furniture(4)<4> groceries(5)<5> wood(14)<1>,wood(14)<1> fish(10)<8> fabric(6)<2>,merchant_marine[1] steel[1] groceries[1] porcelain[1] silk[1] paper[1],fish paper,
PRU,Prussia,7,yes,Krupp artillery & heavy steel,steel,tools iron coal artillery fertilizer explosives,steel(3) tools(11) wine(2),fabric(0)<2> fish(4)<3> sugar(0)<2> dye(0)<2> merchant_marine(0)<1>,fabric(0)<2> fish(4)<3>,artillery[2] dye[1] engines[1],steel tools,
SPA,Spain,6,yes,agrarian colonial remnant,furniture,fabric paper groceries clothes,wine(23) fabric^ wood(17),fabric^<2> furniture(2)<2> groceries(2)<1> tools(0)<1> sugar(1)<1>,fabric^<2> tools(0)<1> iron^<1>,artillery[1] clothes[1] steel[1],fish ship,
AUS,Austria,6,yes,diversified industrial heartland,furniture,glass fabric tool clothes small_arms,tools(5) silk(5) fabric^,wood(10)<5> fabric^<2> sugar(0)<2> dye(0)<1>,wood(10)<5> fabric^<2>,furniture[1] glass[1] silk[1] small_arms[1] steel[1] tools[1],furniture glass,
MEX,Mexico,6,yes,"silver, coffee & dye",tobacco,fabric paper groceries,fabric^ tobacco(7) dye(7),groceries(1)<1> furniture(2)<1> paper(0)<2> clippers(0)<1> small_arms(0)<1>,fabric^<2>,steel[1],tobacco dye,
KOR,Korea,5,no,isolated agrarian hermit kingdom,wood,tobacco fabric iron fish paper,fabric^ wood^ tobacco(8),wood^<2> groceries(0)<2> clothes(0)<2> furniture(0)<2> paper(0)<1>,wood^<2> fabric^<2> tools(0)<1>,grain[1],fish iron,isolated market
BRZ,Brazil,5,yes,coffee plantation giant,fruit,groceries furniture wood,coffee(19) fruit(11) sugar(7),groceries(0)<2> furniture(1)<1>,,clothes[1] steel[1],coffee wood,
PER,Persia,5,no,"opium, carpets & dye",clothes,opium fish furniture glass,opium(7) tea(3) silk(2),groceries(0)<2> fish(1)<2> fabric(2)<1> wood(3)<1> furniture(2)<1>,fabric(2)<1> wood(3)<1> fish(1)<2>,clothes[1] opium[1],clothes meat,isolated market
EGY,Egypt,5,yes,cotton (fabric) & grain,fabric ,meat wood groceries,fabric(12) tobacco(14) sugar(3),wood(4)<3> groceries(0)<2> furniture(0)<2> iron^<1> dye^<1>,wood(4)<3> iron^<1>,fabric[1],grain fabric,
PAN,Punjab,5,no,"cotton, arms & Sikh artillery",fabric ,grain meat,fabric^ tobacco(7) dye(3),wood(2)<2> groceries(0)<2> fish(0)<2> furniture(2)<1>,wood(2)<2> fabric^<2> fish(0)<2>,,fabric grain,isolated market
DEI,Dutch East Indies,5,yes,"coffee, dye & spice islands",fruit,dye coffee,coffee(6) tobacco(22) dye(10),groceries(0)<2> clothes(0)<2> furniture(0)<2> fish^<2> fabric(2)<1>,fish^<2> fabric(2)<1> iron^<1>,coffee[1],dye fruit,
HUN,Hungary,4,yes,grain breadbasket,meat,grain groceries iron steel,wine(8) meat(15) grain(13),clothes(0)<2> fish(0)<2> wood(3)<1> furniture(2)<1> fabric(0)<1>,wood(3)<1> fish(0)<2> fabric(0)<1> tools(0)<1>,steel[1] tools[1],grain groceries,
POR,Portugal,4,yes,"wine, fish & colonial trade",fish,wine wood furniture,wine(9) grain(17) wood(5),groceries(0)<2> furniture(0)<2> silk^<1> iron^<1> tools(0)<1>,tools(0)<1> iron^<1>,wood*[1] clothes[1] grain[1] groceries[1] opium[1],fish wine,
SIC,Two Sicilies,4,yes,Sicilian sulfur monopoly,sulfur,fabric fish,wine(10) fabric^ sulfur(5),fabric^<2> groceries(1)<2> furniture(1)<2> dye(0)<1>,fabric^<2>,sulfur[1],fish sulfur,
