tag,country,n_sources,n_buildings,buildings_needed,prestige_goods,flavored_companies
CHI,China,6,17,arms_industry artillery_foundry coal_mine cotton_plantation explosives_factory food_industry glassworks iron_mine lead_mine munition_plant railway shipyard silk_plantation steel_mill tea_plantation textile_mill tooling_workshop,canton_porcelain(porcelain) china_tea(tea) generic_small_arms(small_arms) suzhou_silk(silk),company_foochow_arsenal company_hanyang_arsenal company_jiangnan_weaving_bureaus company_jingdezhen company_kaiping_mining company_ong_lung_sheng_tea_company
RUS,Russia,10,21,arms_industry artillery_foundry automotive_industry barrack coal_mine cotton_plantation explosives_factory food_industry iron_mine motor_industry munition_plant oil_rig power_plant railway rye_farm shipyard steel_mill textile_mill tooling_workshop vineyard wheat_farm,baku_oil(oil) generic_artillery(artillery) generic_clothes(clothes) generic_small_arms(small_arms) generic_steel(steel) russia_iron(iron) smirnoff_vodka(liquor),company_branobel company_izhevsk_arms_plant company_john_hughes company_lilpop company_putilov_company company_savva_morozov company_ursus company_vodka_monopoly
BIC,East India,9,17,coal_mine cotton_plantation dye_plantation iron_mine logging_camp opium_plantation port power_plant railway rice_farm tea_plantation textile_mill tobacco_plantation university urban_center victoria_terminus wheat_farm,assam_tea(tea) generic_grain(grain),company_assam_company company_bengal_coal_company company_calcutta_electric company_ralli_brothers
USA,United States,7,19,arms_industry art_academy artillery_foundry automotive_industry banana_plantation coal_mine cotton_plantation electrics_industry iron_mine logging_camp motor_industry munition_plant power_plant railway rubber_plantation shipyard steel_mill sugar_plantation wheat_farm,colt_revolvers(small_arms) ford_automobiles(automobiles) generic_steel(steel) gros_michel_banana(fruit) radiola_radios(radios) sea_island_cotton(fabric),company_colt_firearms company_ford_motor company_general_electric company_lee_wilson company_united_fruit company_us_steel company_william_cramp
FRA,France,9,19,arms_industry art_academy artillery_foundry automotive_industry coal_mine cotton_plantation dye_plantation explosives_factory food_industry iron_mine lead_mine motor_industry munition_plant rubber_plantation shipyard steel_mill sulfur_mine textile_mill vineyard,champagne(wine) generic_clothes(clothes) haute_couture(luxury_clothes) saint_etienne_rifles(small_arms) schneider_guns(artillery),company_cgv company_dmc company_fcm company_madura_mills company_maison_worth company_mines_anzin company_saint_etienne company_schneider_creusot company_societe_mokta_el_hadid
GBR,Great Britain,8,19,automotive_industry coal_mine cotton_plantation electrics_industry food_industry furniture_manufactory iron_mine lead_mine logging_camp motor_industry munition_plant port power_plant rye_farm shipyard steel_mill textile_mill tooling_workshop wheat_farm,clyde_built_liners(steamers) english_upholstery(luxury_furniture) ferranti_radios(radios) generic_clothes(clothes) generic_groceries(groceries) sheffield_steel(steel) white_star_liners(merchant_marine),company_armstrong_whitworth company_bolckow_vaughan company_ferranti_ltd company_guinness company_j_p_coats company_john_brown company_maple_and_co company_white_star_line
TUR,Ottomans,7,14,artillery_foundry barrack explosives_factory food_industry motor_industry oil_rig power_plant railway rye_farm shipyard steel_mill university urban_center wheat_farm,generic_grain(grain),company_allatini_mills company_imperial_arsenal company_orient_express company_turkish_petroleum
JAP,Japan,10,24,artillery_foundry chemical_plant coal_mine dye_plantation food_industry glassworks iron_mine lead_mine logging_camp motor_industry paper_mill port power_plant railway rice_farm shipyard silk_plantation steel_mill sulfur_mine tea_plantation textile_mill tooling_workshop urban_center vineyard,generic_merchant_marine(merchant_marine) generic_steel(steel) kikkoman_soy_sauce(groceries) satsuma_ware(porcelain) tomioka_silk(silk) washi_paper(paper),company_kinkozan_sobei company_mantetsu company_mitsubishi company_mitsui company_noda_shoyu company_sumitomo company_tokyo_electric_light_company company_yasuda
PRU,Prussia,7,18,arms_industry artillery_foundry chemical_plant dye_plantation electrics_industry explosives_factory iron_mine kaiserforum_1 kaiserforum_2 kaiserforum_3 kaiserforum_4 motor_industry munition_plant railway shipyard steel_mill sulfur_mine synthetics_plant,generic_artillery(artillery) german_aniline(dye) krupp_guns(artillery) schichau_engines(engines),company_basf company_krupp company_prussian_state_railways company_rheinmetall company_schichau company_siemens_and_halske
SPA,Spain,9,22,arms_industry artillery_foundry coal_mine cotton_plantation estacion_de_madrid_atocha explosives_factory gran_teatro_de_la_habana iron_mine logging_camp manila_cathedral_monument manila_cathedral_ruins munition_plant pena_convent pena_palace railway sagrada_familia_cathedral_1 sagrada_familia_cathedral_2 sagrada_familia_cathedral_3 silk_plantation steel_mill textile_mill urban_center,generic_artillery(artillery) generic_clothes(clothes) generic_steel(steel),company_duro_y_compania company_espana_industrial company_trubia
